5000 8000
4452 4235 54
4235 261 45
261 4634 19
4634 3782 59
3782 2826 69
2826 1005 22
1005 2722 115
2722 3351 128
3351 3515 70
3515 3596 30
3596 387 70
387 3693 178
3693 3083 3
3083 4014 193
4014 4631 30
4631 3868 127
3868 4523 129
4523 983 143
983 3858 145
3858 3711 194
3711 1892 145
1892 668 90
668 2140 37
2140 976 17
976 3360 45
3360 2941 196
2941 703 172
703 880 99
880 946 138
946 2994 192
2994 4997 188
4997 4418 196
4418 3521 166
3521 4778 173
4778 2973 168
2973 1538 98
1538 4677 200
4677 3754 1
3754 969 158
969 104 63
104 1204 136
1204 512 149
512 293 11
293 1960 161
1960 3475 70
3475 296 183
296 2563 152
2563 1202 46
1202 2836 99
2836 2689 4
2689 918 123
918 1622 183
1622 3661 131
3661 1431 5
1431 3046 28
3046 4025 178
4025 4745 63
4745 3757 152
3757 4005 184
4005 4136 19
4136 1281 154
1281 4333 35
4333 2214 77
2214 1975 31
1975 243 147
243 2119 11
2119 1799 185
1799 1365 136
1365 318 156
318 439 114
439 1454 57
1454 16 20
16 371 197
371 538 16
538 2442 93
2442 326 151
326 2425 78
2425 2769 53
2769 4396 101
4396 1570 198
1570 1372 19
1372 3671 84
3671 4857 126
4857 1160 140
1160 516 10
516 1247 167
1247 3942 77
3942 2290 140
2290 1567 135
1567 3916 127
3916 648 37
648 363 7
363 1748 41
1748 3513 184
3513 888 194
888 3303 200
3303 3796 118
3796 2128 188
2128 3404 71
3404 2094 161
2094 1783 180
1783 4612 67
4612 2277 133
2277 522 101
522 1209 4
1209 4160 135
4160 2648 63
2648 4528 168
4528 1037 39
1037 1668 169
1668 4019 179
4019 4781 88
4781 3679 107
3679 402 169
402 3527 38
3527 2655 198
2655 3447 53
3447 3088 127
3088 4887 149
4887 2846 77
2846 1178 47
1178 2060 178
2060 4304 159
4304 3537 121
3537 658 4
658 120 196
120 3134 153
3134 171 1
171 2356 187
2356 136 140
136 1906 57
1906 4563 15
4563 4971 100
4971 1905 142
1905 4775 90
4775 2479 135
2479 4705 66
4705 2446 71
2446 700 17
700 1661 147
1661 2709 38
2709 3973 113
3973 4591 95
4591 1913 92
1913 395 110
395 4758 139
4758 2257 195
2257 41 80
41 1936 166
1936 2076 7
2076 1604 122
1604 4509 134
4509 2736 147
2736 411 86
411 4250 147
4250 2783 1
2783 1819 26
1819 3461 107
3461 853 103
853 3971 169
3971 4763 67
4763 4733 200
4733 3488 117
3488 1607 8
1607 4230 9
4230 1498 105
1498 1531 112
1531 506 85
506 34 49
34 4033 4
4033 4168 161
4168 1234 45
1234 3162 100
3162 1831 147
1831 2818 9
2818 715 191
715 4255 156
4255 2083 51
2083 2952 4
2952 2468 136
2468 3810 156
3810 751 53
751 972 33
972 2956 25
2956 2713 17
2713 4948 10
4948 3302 85
3302 4419 156
4419 2054 41
2054 2104 124
2104 2578 54
2578 4930 35
4930 1660 92
1660 878 54
878 1440 36
1440 3456 17
3456 3883 127
3883 2051 36
2051 4197 89
4197 1403 47
1403 2113 105
2113 4632 152
4632 2326 52
2326 2698 3
2698 3399 124
3399 1174 119
1174 4770 92
4770 442 117
442 4300 69
4300 1879 50
1879 2996 71
2996 4364 198
4364 3559 60
3559 4233 146
4233 4553 140
4553 3961 127
3961 3209 52
3209 2254 13
2254 2879 186
2879 4314 6
4314 840 142
840 29 25
29 460 174
460 3149 191
3149 320 127
320 2974 138
2974 1091 145
1091 1251 38
1251 4771 164
4771 518 6
518 2611 98
2611 4120 83
4120 327 106
327 4856 39
4856 107 91
107 362 122
362 281 181
281 2606 116
2606 4176 160
4176 2893 56
2893 2071 90
2071 3951 64
3951 1692 158
1692 2011 199
2011 749 111
749 1762 170
1762 1585 159
1585 2203 103
2203 3452 163
3452 4251 26
4251 445 183
445 788 190
788 1413 126
1413 1415 189
1415 1338 26
1338 490 110
490 4489 68
4489 2141 48
2141 1862 180
1862 2 105
2 4803 83
4803 3746 200
3746 3869 125
3869 1412 125
1412 2590 22
2590 1920 192
1920 4880 52
4880 125 30
125 3803 164
3803 4867 138
4867 3520 87
3520 2910 91
2910 1222 195
1222 1154 9
1154 3048 60
3048 4178 168
4178 481 136
481 2482 11
2482 322 149
322 3899 178
3899 1650 186
1650 684 120
684 3061 150
3061 4998 20
4998 4853 148
4853 1270 98
1270 3914 200
3914 1330 1
1330 2894 158
2894 1258 129
1258 1284 43
1284 4157 50
4157 740 146
740 4302 74
4302 1473 159
1473 1491 142
1491 3125 108
3125 1057 104
1057 374 200
374 514 24
514 1348 83
1348 4010 155
4010 56 12
56 4031 150
4031 1214 58
1214 1532 175
1532 3370 131
3370 4583 75
4583 4325 132
4325 1300 151
1300 2179 64
2179 131 145
131 1770 100
1770 1816 26
1816 2617 24
2617 1707 14
1707 449 134
449 3613 45
3613 4271 29
4271 1795 3
1795 4622 164
4622 2685 25
2685 1199 164
1199 941 196
941 2266 184
2266 3967 4
3967 1978 94
1978 549 197
549 2587 74
2587 4412 95
4412 3409 106
3409 1072 57
1072 219 64
219 1269 7
1269 470 2
470 3737 21
3737 3744 82
3744 2019 164
2019 4372 148
4372 2971 80
2971 1291 86
1291 1665 96
1665 3663 80
3663 3894 34
3894 4894 182
4894 1127 41
1127 1411 110
1411 4276 115
4276 2891 169
2891 542 12
542 1826 114
1826 2618 30
2618 3715 69
3715 575 6
575 1710 63
1710 1963 122
1963 163 56
163 4212 175
4212 4174 140
4174 1717 60
1717 4065 52
4065 1882 164
1882 4616 147
4616 4374 158
4374 2945 154
2945 4709 166
4709 515 130
515 1030 158
1030 3484 54
3484 2505 91
2505 58 145
58 3778 147
3778 4741 172
4741 2431 70
2431 1825 144
1825 1410 66
1410 3644 81
3644 4610 173
4610 4413 103
4413 2792 136
2792 1601 79
1601 13 123
13 4597 11
4597 1653 27
1653 2515 160
2515 2089 88
2089 4447 105
4447 1534 125
1534 3022 49
3022 1201 143
1201 513 187
513 3306 157
3306 917 176
917 3680 9
3680 3690 175
3690 3642 75
3642 2565 143
2565 173 58
173 4055 144
4055 534 179
534 302 79
302 4214 181
4214 4678 188
4678 3685 100
3685 1809 97
1809 2554 165
2554 2337 174
2337 2041 107
2041 1317 13
1317 2787 139
2787 3569 153
3569 3403 200
3403 798 112
798 291 49
291 2758 31
2758 3732 143
3732 4135 11
4135 4278 175
4278 2872 117
2872 354 99
354 4608 76
4608 1765 135
1765 2056 123
2056 2435 97
2435 3783 157
3783 3146 118
3146 4916 124
4916 133 109
133 4536 124
4536 3719 181
3719 739 160
739 2096 16
2096 341 122
341 4348 1
4348 1599 192
1599 1492 69
1492 4085 89
4085 3207 83
3207 4786 158
4786 2815 23
2815 3638 56
3638 2975 196
2975 656 136
656 1993 75
1993 4238 146
4238 3142 7
3142 1559 189
1559 1253 30
1253 2949 163
2949 3286 158
3286 2367 186
2367 599 52
599 732 84
732 718 9
718 4319 155
4319 401 148
401 3467 200
3467 3840 81
3840 3692 76
3692 2384 197
2384 2352 98
2352 3186 58
3186 4399 10
4399 4048 100
4048 2338 27
2338 3532 64
3532 616 120
616 128 127
128 4512 41
4512 3093 165
3093 4748 34
4748 109 5
109 3290 90
3290 146 56
146 3217 100
3217 3944 40
3944 4561 76
4561 2151 109
2151 4495 145
4495 1912 172
1912 2188 108
2188 4890 99
4890 1600 182
1600 4517 27
4517 4309 30
4309 4239 96
4239 3651 178
3651 626 124
626 596 80
596 2382 75
2382 3821 55
3821 3180 21
3180 1368 135
1368 4439 174
4439 4098 178
4098 3608 73
3608 2561 120
2561 4242 105
4242 4368 137
4368 2484 104
2484 3646 35
3646 3786 61
3786 1342 68
1342 4301 42
4301 1683 93
1683 4100 153
4100 2110 11
2110 1099 27
1099 4966 39
4966 2207 36
2207 100 91
100 3705 6
3705 2198 174
2198 3832 189
3832 2756 139
2756 4983 36
4983 3620 13
3620 3829 128
3829 4215 74
4215 1864 69
1864 1842 88
1842 225 71
225 465 182
465 4236 10
4236 1292 178
1292 1880 8
1880 866 102
866 191 27
191 3368 126
3368 4743 148
4743 2739 25
2739 3941 186
3941 4801 100
4801 4923 63
4923 3031 115
3031 3495 178
3495 3214 193
3214 2921 133
2921 1750 41
1750 297 177
297 4344 95
4344 433 41
433 3432 13
3432 2630 22
2630 24 11
24 2046 41
2046 3307 106
3307 3201 171
3201 1170 169
1170 202 86
202 2375 161
2375 3863 62
3863 540 46
540 1212 19
1212 3641 57
3641 4315 141
4315 3687 177
3687 2907 39
2907 1793 122
1793 4529 85
4529 2251 99
2251 2656 74
2656 2065 106
2065 2503 71
2503 3932 194
3932 1259 88
1259 4714 177
4714 4228 163
4228 2058 77
2058 4945 199
4945 3316 81
3316 2824 68
2824 4954 197
4954 1889 128
1889 3390 26
3390 3577 137
3577 2695 94
2695 4838 32
4838 1705 123
1705 4415 190
4415 1104 115
1104 3440 47
3440 3038 91
3038 4429 23
4429 337 11
337 3978 40
3978 330 176
330 4552 48
4552 1446 158
1446 12 14
12 1675 69
1675 1290 59
1290 4629 168
4629 1334 158
1334 1742 103
1742 1322 179
1322 2696 139
2696 1482 199
1482 1320 94
1320 3479 2
3479 1254 94
1254 4858 120
4858 2191 10
2191 1012 172
1012 900 186
900 1025 78
1025 4263 159
4263 499 16
499 3015 23
3015 2047 95
2047 39 126
39 1817 90
1817 944 116
944 1645 182
1645 1032 64
1032 1811 98
1811 2008 176
2008 1592 186
1592 3991 27
3991 2026 170
2026 2336 184
2336 752 111
752 3720 41
3720 10 181
10 384 83
384 3652 76
3652 773 151
773 306 38
306 3080 14
3080 4194 193
4194 480 159
480 650 158
650 1442 156
1442 2755 191
2755 4092 186
4092 135 76
135 258 21
258 1854 133
1854 912 175
912 4688 112
4688 2904 135
2904 2535 184
2535 2592 192
2592 2810 72
2810 4727 197
4727 2488 76
2488 385 167
385 4620 156
4620 1741 67
1741 4311 99
4311 3876 165
3876 2866 107
2866 369 1
369 501 180
501 815 108
815 820 112
820 3740 151
3740 2246 59
2246 3042 124
3042 178 144
178 232 146
232 4011 167
4011 2199 176
2199 4829 69
4829 4707 161
4707 1481 15
1481 1529 49
1529 1095 51
1095 2421 56
2421 4275 79
4275 2201 125
2201 4307 52
4307 2513 168
2513 615 106
615 343 69
343 3505 126
3505 3728 168
3728 1733 52
1733 4104 197
4104 2392 182
2392 1597 58
1597 2673 21
2673 3801 95
3801 4141 34
4141 2526 3
2526 2343 194
2343 3824 31
3824 1146 84
1146 4522 49
4522 2206 93
2206 3617 2
3617 3857 194
3857 4598 61
4598 3913 182
3913 168 38
168 1671 129
1671 2558 99
2558 3866 92
3866 2843 80
2843 2750 95
2750 5000 188
5000 3294 95
3294 195 89
195 2305 155
2305 3322 153
3322 1615 93
1615 965 195
965 774 195
774 3124 25
3124 1732 167
1732 3477 60
3477 4281 78
4281 630 140
630 3610 152
3610 963 194
963 821 114
821 2504 185
2504 1838 196
1838 3299 88
3299 4142 135
4142 3540 96
3540 520 59
520 1656 163
1656 1158 187
1158 1516 120
1516 2181 64
2181 3451 199
3451 2518 5
2518 3498 108
3498 988 71
988 196 154
196 2742 38
2742 3504 162
3504 750 118
750 4400 13
4400 3962 170
3962 4196 117
4196 609 185
609 2998 61
2998 3420 162
3420 2634 197
2634 46 79
46 1918 15
1918 1102 77
1102 3552 146
3552 1140 189
1140 3473 78
3473 2472 169
2472 2160 65
2160 4057 198
4057 3208 179
3208 4988 60
4988 2380 164
2380 2801 98
2801 3998 12
3998 4543 48
4543 4117 51
4117 3241 32
3241 4929 13
4929 4389 142
4389 3653 12
3653 4892 121
4892 4944 110
4944 4516 169
4516 2868 133
2868 1489 62
1489 1561 4
1561 694 11
694 2335 187
2335 2829 178
2829 4435 16
4435 4425 122
4425 3602 190
3602 3525 8
3525 2131 93
2131 1430 95
1430 1833 125
1833 3251 150
3251 4859 87
4859 4261 186
4261 706 24
706 4246 45
4246 3745 22
3745 2177 99
2177 205 110
205 1417 118
1417 3261 53
3261 2261 167
2261 4335 120
4335 1550 150
1550 3000 12
3000 3557 38
3557 979 29
979 2253 154
2253 4919 199
4919 2366 54
2366 4756 40
4756 3985 132
3985 3780 193
3780 4816 105
4816 2807 140
2807 4891 126
4891 1049 153
1049 4941 136
4941 1618 195
1618 431 85
431 114 140
114 818 154
818 4658 36
4658 2855 17
2855 922 52
922 4169 140
4169 553 146
553 88 117
88 3410 177
3410 2570 127
2570 2102 173
2102 3759 26
3759 2506 116
2506 4036 162
4036 2924 120
2924 4618 177
4618 1087 79
1087 4150 86
4150 4539 84
4539 4013 43
4013 4079 117
4079 2844 181
2844 2010 98
2010 3549 148
3549 3117 56
3117 3591 75
3591 1078 103
1078 2671 122
2671 3947 103
3947 1295 195
1295 3707 184
3707 18 103
18 4121 105
4121 1508 200
1508 4067 51
4067 2684 144
2684 4461 166
4461 3494 77
3494 4219 87
4219 2927 135
2927 1822 184
1822 2444 89
2444 228 8
228 864 42
864 4029 40
4029 1934 176
1934 4681 25
4681 4525 200
4525 4718 34
4718 422 147
422 1744 98
1744 3127 99
3127 2633 31
2633 770 145
770 848 103
848 885 184
885 1310 90
1310 4621 172
4621 2396 62
2396 3805 138
3805 1068 64
1068 399 35
399 2895 116
2895 4483 105
4483 2470 141
2470 4148 72
4148 3501 112
3501 4394 52
4394 4115 175
4115 2329 151
2329 2922 124
2922 4956 124
4956 4594 163
4594 1325 197
1325 1563 92
1563 686 130
686 4991 53
4991 1115 80
1115 3923 107
3923 2909 84
2909 670 15
670 1362 133
1362 2006 146
2006 1002 159
1002 4422 74
4422 4286 151
4286 3266 46
3266 447 97
447 4951 183
4951 1582 96
1582 61 47
61 729 163
729 265 192
265 509 26
509 3827 185
3827 3113 30
3113 1760 178
1760 4186 188
4186 467 168
467 435 135
435 1461 150
1461 3516 70
3516 727 74
727 2461 183
2461 3568 5
3568 1051 148
1051 7 170
7 1878 35
1878 3470 46
3470 3425 49
3425 2538 13
2538 2757 24
2757 3708 69
3708 4824 77
4824 3039 90
3039 2176 132
2176 961 38
961 1062 166
1062 903 58
903 4639 193
4639 4147 178
4147 2882 87
2882 3823 44
3823 4445 195
4445 2613 166
2613 3123 198
3123 2033 48
2033 4473 64
4473 4587 89
4587 1082 70
1082 2009 84
2009 4467 34
4467 3297 30
3297 4975 97
4975 213 73
213 1010 82
1010 99 136
99 2691 15
2691 4373 39
4373 2426 169
2426 3087 50
3087 3999 166
3999 33 32
33 127 196
127 2795 99
2795 4862 96
4862 3418 42
3418 4716 192
4716 1672 91
1672 3355 57
3355 3346 3
3346 4825 183
4825 4058 10
4058 1714 187
1714 1828 102
1828 3345 172
3345 624 6
624 4837 62
4837 2024 114
2024 3037 115
3037 3844 54
3844 3772 187
3772 4497 173
4497 2117 128
2117 3751 33
3751 2963 142
2963 1393 180
1393 2154 114
2154 1971 146
1971 746 8
746 2273 41
2273 803 28
803 1414 155
1414 3753 121
3753 3301 112
3301 743 149
743 2552 58
2552 3492 20
3492 507 47
507 3695 164
3695 1448 119
1448 2311 16
2311 1722 120
1722 1801 64
1801 3493 93
3493 720 36
720 1911 82
1911 928 160
928 1455 52
1455 2228 168
2228 2256 85
2256 4977 50
4977 1771 184
1771 996 24
996 4739 110
4739 3230 79
3230 1958 60
1958 1043 198
1043 3909 16
3909 2328 62
2328 4296 94
4296 226 116
226 3273 131
3273 978 116
978 3108 66
3108 2600 22
2600 672 6
672 1747 88
1747 1223 173
1223 771 92
771 1503 170
1503 2827 103
2827 4202 198
4202 2030 60
2030 1103 33
1103 4385 197
4385 108 134
108 2120 32
2120 2381 124
2381 2081 156
2081 622 141
622 206 82
206 1768 92
1768 4358 17
4358 3288 39
3288 1167 186
1167 1248 178
1248 2767 75
2767 1937 128
1937 935 4
935 4504 67
4504 3057 152
3057 4939 103
4939 2226 160
2226 2585 29
2585 989 19
989 957 147
957 3553 189
3553 2626 94
2626 428 31
428 4189 98
4189 1551 155
1551 738 192
738 1850 188
1850 1944 28
1944 27 151
27 2339 151
2339 2950 174
2950 745 29
745 4039 39
4039 2275 54
2275 4195 42
4195 2784 153
2784 1939 11
1939 3497 147
3497 1603 6
1603 1576 82
1576 3770 168
3770 4849 180
4849 956 1
956 3480 8
3480 4313 65
4313 3291 191
3291 2015 95
2015 4927 3
4927 416 159
416 2885 185
2885 4032 84
4032 319 139
319 1836 39
1836 2237 177
2237 2798 16
2798 4985 181
4985 2494 117
2494 1231 30
1231 4376 158
4376 2242 104
2242 3293 118
3293 1903 4
1903 2557 81
2557 1114 82
1114 1345 87
1345 4588 112
4588 4957 5
4957 3811 72
3811 1213 184
1213 1754 120
1754 4181 12
4181 4562 119
4562 2675 43
2675 2609 7
2609 3265 46
3265 2712 68
2712 2748 88
2748 1517 189
1517 2002 23
2002 4226 180
4226 1457 104
1457 585 137
585 2852 113
2852 823 158
823 604 199
604 2345 68
2345 3573 148
3573 1598 95
1598 4754 28
4754 2674 153
2674 2664 39
2664 564 21
564 1228 149
1228 3019 173
3019 1688 36
1688 2737 22
2737 214 157
214 3445 85
3445 3579 109
3579 3340 69
3340 1499 3
1499 1952 127
1952 388 22
388 4872 190
4872 236 83
236 3278 91
3278 4555 197
4555 45 150
45 3405 80
3405 4305 92
4305 496 23
496 3669 159
3669 666 120
666 3086 143
3086 702 132
702 3496 5
3496 271 107
271 1820 9
1820 3633 107
3633 49 99
49 4693 198
4693 1686 28
1686 4979 146
4979 269 129
269 396 61
396 2135 75
2135 3211 57
3211 2122 66
2122 2533 35
2533 2430 17
2430 3435 28
3435 305 154
305 4240 161
4240 2063 54
2063 4264 159
4264 1961 23
1961 360 120
360 4663 72
4663 2999 108
2999 3797 166
3797 1195 178
1195 1120 94
1120 4384 62
4384 55 75
55 3791 74
3791 4183 72
4183 2378 119
2378 4513 68
4513 572 149
572 2317 107
2317 1938 127
1938 3434 141
3434 3989 27
3989 2405 46
2405 2759 163
2759 4902 53
4902 3163 100
3163 1280 88
1280 2362 141
2362 73 94
73 409 122
409 4676 114
4676 3250 133
3250 4507 146
4507 1119 11
1119 4175 61
4175 1207 178
1207 2304 120
2304 2236 166
2236 2062 162
2062 2445 51
2445 69 25
69 2854 180
2854 4750 155
4750 3365 132
3365 1380 145
1380 1874 134
1874 4213 52
4213 1968 95
1968 2377 137
2377 3413 99
3413 1856 135
1856 3284 96
3284 1657 171
1657 557 141
557 2845 30
2845 2666 185
2666 2451 165
2451 4635 85
4635 1985 168
1985 62 117
62 2448 122
2448 671 107
671 1238 194
1238 1278 24
1278 3012 111
3012 4873 48
4873 954 116
954 1588 45
1588 4249 13
4249 1687 51
1687 3027 28
3027 3748 48
3748 2291 131
2291 2434 85
2434 3212 44
3212 85 173
85 3128 149
3128 3874 147
3874 858 142
858 3925 98
3925 2782 171
2782 4332 185
4332 688 181
688 2359 81
2359 1996 124
1996 115 122
115 3154 64
3154 2241 6
2241 1728 178
1728 1640 87
1640 1198 82
1198 54 189
54 2777 67
2777 2301 45
2301 469 161
469 1995 166
1995 2389 157
2389 4619 50
4619 2703 128
2703 3462 142
3462 4021 120
4021 1729 168
1729 1798 167
1798 2420 186
2420 3561 50
3561 3236 70
3236 4993 96
4993 3412 172
3412 4380 122
4380 4269 153
4269 1579 192
1579 1434 105
1434 1437 44
1437 1398 145
1398 2411 162
2411 809 38
809 3964 92
3964 2902 49
2902 4921 154
4921 4253 40
4253 807 87
807 4028 10
4028 4318 48
4318 335 42
335 4871 179
4871 2986 19
2986 429 148
429 1764 79
1764 4410 56
4410 1205 94
1205 4006 187
4006 1027 162
1027 2699 3
2699 3072 10
3072 63 167
63 4391 123
4391 1262 143
1262 1153 5
1153 3274 21
3274 4702 30
4702 483 14
483 268 159
268 1674 138
1674 606 135
606 530 55
530 312 106
312 1845 122
1845 3625 110
3625 4499 114
4499 2687 99
2687 2593 91
2593 949 166
949 1469 199
1469 3564 33
3564 3684 69
3684 763 127
763 830 158
830 4769 193
4769 4691 188
4691 1834 146
1834 3481 95
3481 2360 181
2360 98 88
98 970 156
970 4544 51
4544 4295 68
4295 1460 87
1460 594 122
594 4996 150
4996 3220 92
3220 886 79
886 2940 157
2940 3009 153
3009 1463 180
1463 323 89
323 3741 84
3741 299 91
299 3972 160
3972 4791 162
4791 4243 11
4243 2145 85
2145 4884 124
4884 3324 132
3324 1354 83
1354 361 190
361 1110 6
1110 4575 187
4575 4190 39
4190 1013 87
1013 889 126
889 891 82
891 2427 48
2427 2436 68
2436 2007 195
2007 1923 184
1923 1497 44
1497 2397 143
2397 3408 26
3408 2586 76
2586 4723 169
4723 4130 40
4130 4980 156
4980 118 63
118 295 52
295 2946 199
2946 3071 22
3071 1648 29
1648 3510 144
3510 1636 198
1636 4703 94
4703 2456 10
2456 591 5
591 336 146
336 4982 61
4982 1183 16
1183 4017 22
4017 1036 106
1036 2283 65
2283 137 113
137 2457 195
2457 2099 159
2099 793 103
793 1554 17
1554 1649 38
1649 3295 187
3295 2710 132
2710 2404 84
2404 1360 152
1360 2808 115
2808 3191 87
3191 4316 125
4316 2644 70
2644 1451 177
1451 4574 140
4574 229 200
229 762 149
762 1832 9
1832 4139 105
4139 1835 109
1835 2679 143
2679 4337 2
4337 1088 19
1088 2773 155
2773 3381 67
3381 2725 112
2725 2037 119
2037 298 51
298 1926 150
1926 3156 105
3156 2560 95
2560 448 164
448 4695 67
4695 899 121
899 2066 47
2066 1111 93
1111 1311 182
1311 2601 72
2601 3109 116
3109 3860 32
3860 259 72
259 1679 76
1679 1786 83
1786 3992 196
3992 4787 126
4787 3331 115
3331 1301 175
1301 3864 9
3864 1837 15
1837 1581 109
1581 165 165
165 2860 51
2860 2309 182
2309 1699 40
1699 1427 49
1427 3615 138
3615 1047 130
1047 1003 39
1003 3040 78
3040 2659 151
2659 197 116
197 3269 147
3269 4955 101
4955 101 104
101 1433 81
1433 1992 26
1992 2221 129
2221 2282 89
2282 472 142
472 477 146
477 3145 154
3145 1387 35
1387 4711 62
4711 358 135
358 678 150
678 4081 76
4081 4895 7
4895 3466 149
3466 3335 93
3335 3917 163
3917 2682 175
2682 246 166
246 1459 17
1459 2764 121
2764 1303 136
1303 2667 150
2667 3640 143
3640 2017 121
2017 4096 136
4096 3886 14
3886 11 158
11 951 172
951 3587 108
3587 4187 147
4187 4462 40
4462 1118 187
1118 3374 21
3374 3152 63
3152 519 104
519 4074 83
4074 141 96
141 3817 100
3817 2890 49
2890 1190 143
1190 2067 116
2067 1548 109
1548 690 137
690 446 131
446 4421 51
4421 551 31
551 1217 121
1217 3300 141
3300 2690 167
2690 778 200
778 927 77
927 3906 139
3906 2597 90
2597 31 45
31 2553 57
2553 766 104
766 4436 165
4436 1241 67
1241 1642 101
1642 2143 47
2143 3567 24
3567 1008 79
1008 407 196
407 2055 117
2055 3766 196
3766 4020 84
4020 4757 44
4757 3063 140
3063 1571 113
1571 3298 162
3298 2278 95
2278 3755 127
3755 583 88
583 1823 134
1823 4206 162
4206 2460 32
2460 2231 84
2231 4675 94
4675 1475 22
1475 4520 46
4520 209 146
209 194 58
194 505 190
505 4244 194
4244 2886 103
2886 3901 99
3901 353 140
353 2486 132
2486 4776 26
4776 1472 25
1472 204 75
204 4912 8
4912 645 22
645 2979 8
2979 4465 160
4465 2000 122
2000 1272 145
1272 2053 120
2053 1341 80
1341 3115 108
3115 4107 63
4107 1857 104
1857 1680 133
1680 1631 4
1631 2828 61
2828 1456 72
1456 1502 97
