2000 3000
12 1675 15
1675 1290 151
1290 1197 113
1197 1334 114
1334 1742 173
1742 1322 33
1322 1990 112
1990 1482 129
1482 1320 193
1320 1873 71
1873 1254 139
1254 801 108
801 644 84
644 1012 66
1012 900 61
900 1025 94
1025 1863 11
1863 499 122
499 1471 52
1471 1888 122
1888 39 10
39 1817 20
1817 944 4
944 1645 64
1645 1032 60
1032 1811 42
1811 37 148
37 1592 127
1592 1595 112
1595 600 198
600 372 196
372 752 144
752 1776 129
1776 10 1
10 384 195
384 680 108
680 773 165
773 306 49
306 155 151
155 1224 72
1224 480 62
480 650 135
650 1442 154
1442 1506 73
1506 140 43
140 135 16
135 258 43
258 1854 64
1854 912 90
912 1359 145
1359 117 92
117 1518 76
1518 1984 76
1984 1054 8
1054 593 159
593 233 193
233 385 82
385 1525 138
1525 1741 118
1741 1859 161
1859 1394 176
1394 1143 17
1143 369 29
369 501 112
501 815 156
815 820 23
820 1166 151
1166 925 120
925 896 45
896 178 15
178 232 154
232 1690 10
1690 1724 193
1724 1979 127
1979 1935 13
1935 1481 37
1481 1529 43
1529 1095 174
1095 406 11
406 288 198
288 1658 115
1658 712 180
712 895 120
895 615 141
615 343 72
343 182 75
182 1321 199
1321 1733 39
1733 1018 81
1018 1483 127
1483 1597 60
1597 1070 45
1070 1610 40
1610 476 117
476 813 110
813 1629 183
1629 450 33
450 1146 131
1146 1101 53
1101 1512 37
1512 497 115
497 1519 6
1519 977 199
977 1676 124
1676 168 107
168 1671 16
1671 28 131
28 726 111
726 1824 19
1824 923 154
923 250 166
250 60 13
60 195 111
195 937 186
937 533 9
533 1615 19
1615 965 104
965 774 186
774 47 151
47 1732 191
1732 834 148
834 1371 138
1371 630 168
630 571 144
571 963 23
963 821 177
821 212 110
212 1838 74
1838 709 97
709 1953 57
1953 455 100
455 520 152
520 1656 15
1656 1158 187
1158 1516 187
1516 1726 111
1726 1749 109
1749 517 115
517 1188 172
1188 988 156
988 196 37
196 1177 39
1177 176 17
176 750 188
750 207 92
207 1641 132
1641 797 11
797 609 148
609 1807 162
1807 814 117
814 1235 64
1235 46 99
46 1918 126
1918 1102 120
1102 897 169
897 1140 102
1140 1113 178
1113 1735 102
1735 879 178
879 730 71
730 1061 193
1061 541 143
541 1015 181
1015 1042 200
1042 619 171
619 906 63
906 1914 102
1914 775 111
775 931 123
931 1700 2
1700 1931 178
1931 485 166
485 842 150
842 189 67
189 1682 179
1682 1489 37
1489 1561 146
1561 694 177
694 822 52
822 83 106
83 138 80
138 1402 32
1402 379 135
379 799 127
799 1308 124
1308 1430 189
1430 1833 141
1833 223 102
223 852 18
852 198 12
198 706 181
706 25 145
25 461 105
461 794 194
794 205 92
205 1417 193
1417 77 72
77 79 53
79 1794 102
1794 1550 21
1550 1725 71
1725 48 54
48 979 70
979 417 20
417 1384 167
1384 674 90
674 728 54
728 264 109
264 1335 113
1335 791 109
791 1876 149
1876 826 27
826 1049 10
1049 1084 193
1084 1618 110
1618 431 68
431 114 194
114 818 78
818 493 20
493 1957 89
1957 922 103
922 1877 103
1877 553 112
553 88 58
88 863 39
863 1185 140
1185 185 176
185 1540 55
1540 1240 18
1240 543 32
543 1055 80
1055 311 157
311 1087 139
1087 491 198
491 1950 151
1950 316 177
316 1808 115
1808 1298 92
1298 1001 189
1001 239 38
239 1218 94
1218 942 142
942 1078 130
1078 203 174
203 342 160
342 1295 191
1295 1107 89
1107 18 20
18 1773 36
1773 1508 190
1508 786 61
786 1883 97
1883 1646 179
1646 1423 63
1423 6 129
6 723 108
723 1822 187
1822 1523 176
1523 228 65
228 864 161
864 1520 131
1520 1934 176
1934 1149 191
1149 602 178
602 1894 142
1894 422 47
422 1744 166
1744 244 3
244 1663 157
1663 770 103
770 848 99
848 885 178
885 1310 92
1310 1385 88
1385 1192 138
1192 96 162
96 1068 46
1068 399 40
399 66 90
66 757 110
757 580 26
580 59 125
59 1444 30
1444 211 174
211 90 26
90 1769 29
1769 1536 134
1536 1921 86
1921 581 36
581 1325 4
1325 1563 6
1563 686 5
686 1704 84
1704 1115 92
1115 588 179
588 1900 41
1900 670 165
670 1362 89
1362 932 46
932 1002 118
1002 266 2
266 529 52
529 1628 26
1628 447 13
447 663 192
663 1582 106
1582 61 134
61 729 160
729 265 136
265 509 33
509 1719 170
1719 1500 195
1500 1760 136
1760 993 104
993 467 69
467 435 160
435 1461 133
1461 638 36
638 727 126
727 221 27
221 1711 26
1711 1051 180
1051 7 155
7 1878 50
1878 350 90
350 1572 137
1572 582 8
582 1260 163
1260 116 40
116 1336 185
1336 1560 18
1560 1983 73
1983 961 110
961 1062 55
1062 903 55
903 1643 162
1643 504 42
504 772 88
772 711 139
711 254 61
254 527 147
527 1479 80
1479 1376 50
1376 539 28
539 1932 11
1932 1082 76
1082 425 131
425 1124 169
1124 1947 189
1947 958 98
958 213 42
213 1010 183
1010 99 39
99 1232 71
1232 1355 169
1355 1060 115
1060 697 180
697 1664 178
1664 33 139
33 127 127
127 1670 167
1670 736 92
736 1147 39
1147 224 176
224 1672 77
1672 192 31
192 1329 39
1329 1896 142
1896 1189 195
1189 1714 159
1714 1828 44
1828 1991 116
1991 624 101
624 331 198
331 1723 174
1723 86 113
86 282 133
282 947 2
947 854 9
854 482 16
482 300 89
300 1606 176
1606 1393 48
1393 1079 189
1079 1971 30
1971 746 180
746 1367 113
1367 803 141
803 1414 108
1414 759 18
759 1038 196
1038 743 190
743 418 83
418 1647 61
1647 507 31
507 1949 3
1949 1448 181
1448 270 134
270 1722 40
1722 1801 34
1801 1893 61
1893 720 7
720 1911 82
1911 928 116
928 1455 16
1455 785 183
785 545 88
545 1907 28
1907 1771 93
1771 996 195
996 1056 177
1056 1129 93
1129 1958 73
1958 1043 69
1043 1509 70
1509 1302 157
1302 325 83
325 226 199
226 494 85
494 978 159
978 1306 173
1306 1804 5
1804 672 71
672 1747 37
1747 1223 120
1223 771 10
771 1503 177
1503 558 135
558 1697 40
1697 832 109
832 1103 110
1103 415 94
415 108 29
108 1522 31
1522 1484 178
1484 1286 177
1286 622 59
622 206 171
206 1768 157
1768 22 96
22 1265 184
1265 1167 33
1167 1248 168
1248 112 70
112 1937 152
1937 935 91
935 1435 108
1435 1112 174
1112 1074 40
1074 249 6
249 142 147
142 989 15
989 957 70
957 190 54
190 1787 129
1787 428 147
428 1549 165
1549 1551 109
1551 738 32
738 1850 11
1850 1944 122
1944 27 127
27 1159 174
1159 1821 8
1821 745 36
745 102 195
102 317 67
317 1847 153
1847 313 40
313 1939 183
1939 1712 173
1712 1603 3
1603 1576 150
1576 1266 138
1266 52 8
52 956 32
956 1288 28
1288 1919 58
1919 1453 169
1453 1925 180
1925 733 28
733 416 94
416 1695 100
1695 272 21
272 319 1
319 1836 45
1836 487 84
487 292 131
292 149 82
149 1181 49
1181 1231 88
1231 1408 162
1408 332 89
332 1959 147
1959 1903 116
1903 502 120
502 1114 183
1114 1345 12
1345 652 15
652 1081 181
1081 1131 160
1131 1213 24
1213 1754 150
1754 608 121
608 1890 18
1890 1637 39
1637 1987 168
1987 1033 73
1033 683 134
683 734 109
734 1517 122
1517 933 14
933 473 56
473 1457 180
1457 585 14
585 1486 18
1486 823 95
823 604 74
604 660 117
660 1976 119
1976 1598 175
1598 1315 155
1315 1701 102
1701 414 52
414 564 41
564 1228 39
1228 973 41
973 1688 183
1688 547 71
547 214 15
214 179 131
179 1797 50
1797 563 34
563 1499 187
1499 1952 65
1952 388 125
388 873 177
873 236 101
236 1689 75
1689 1391 127
1391 45 65
45 559 77
559 776 98
776 496 138
496 1586 12
1586 666 88
666 3 149
3 702 137
702 1513 9
1513 271 17
271 1820 97
1820 19 140
19 49 97
49 556 85
556 1686 197
1686 1465 96
1465 269 174
269 396 142
396 760 7
760 368 189
368 1396 54
1396 535 151
535 1075 125
1075 1530 143
1530 305 174
305 1755 181
1755 328 42
328 105 94
105 1961 115
1961 360 46
360 1702 150
1702 916 180
916 521 173
521 1195 142
1195 1120 72
1120 375 118
375 55 97
55 143 115
143 1392 48
1392 38 5
38 36 149
36 572 65
572 53 157
53 1938 81
1938 1053 11
1053 755 40
755 1151 16
1151 459 173
459 158 20
158 275 143
275 1280 57
1280 1462 82
1462 73 54
73 409 165
409 1767 88
1767 91 177
91 1236 164
1236 1119 40
1119 943 200
943 1207 180
1207 1846 142
1846 1644 140
1644 1066 144
1066 662 83
662 69 139
69 216 183
216 940 3
940 412 8
412 1380 160
1380 1874 123
1874 441 86
441 1968 148
1968 1108 51
1108 1350 72
1350 1856 81
1856 94 199
94 1657 175
1657 557 158
557 610 76
610 65 189
65 1252 126
1252 1271 115
1271 1985 63
1985 62 32
62 287 91
287 671 113
671 1238 77
1238 1278 33
1278 592 170
592 836 125
836 954 88
954 1588 194
1588 274 66
274 1687 45
1687 1956 40
1956 1568 12
1568 444 115
444 1715 176
1715 1230 2
1230 85 120
85 1780 8
1780 625 30
625 858 5
858 764 125
764 1973 116
1973 570 152
570 688 170
688 868 17
868 1996 151
1996 115 105
115 1096 26
1096 1323 194
1323 1728 19
1728 1640 179
1640 1198 34
1198 54 24
54 945 70
945 894 75
894 469 145
469 1995 96
1995 139 20
139 1621 189
1621 1510 51
1510 474 121
474 484 157
484 1729 75
1729 1798 72
1798 971 172
971 1841 199
1841 1583 89
1583 1352 115
1352 231 90
231 742 189
742 909 179
909 1579 42
1579 1434 162
1434 1437 163
1437 1398 182
1398 716 183
716 809 145
809 1007 156
1007 1848 80
1848 831 14
831 1137 44
1137 807 168
807 87 126
87 1630 31
1630 335 177
335 1076 55
1076 1176 26
1176 429 155
429 1764 186
1764 532 49
532 1205 71
1205 1839 174
1839 1027 40
1027 647 50
647 1706 200
1706 63 132
63 93 100
93 1262 191
1262 1153 60
1153 1443 155
1443 1245 181
1245 483 175
483 268 30
268 1674 107
1674 606 182
606 530 2
530 312 19
312 1845 122
1845 1988 103
1988 1933 60
1933 421 101
421 365 112
365 949 133
949 1469 100
1469 1305 181
1305 685 17
685 763 160
763 830 15
830 901 163
901 1244 102
1244 1834 181
1834 659 39
659 345 163
345 98 83
98 970 116
970 753 32
753 256 116
256 1460 47
1460 594 107
594 382 74
382 43 3
43 886 12
886 1619 180
1619 1263 33
1263 1463 197
1463 323 187
323 1941 44
1941 299 70
299 523 195
523 1981 188
1981 74 123
74 144 12
144 1527 66
1527 696 126
696 1354 169
1354 361 166
361 1110 48
1110 1639 190
1639 1922 187
1922 1013 47
1013 889 138
889 891 115
891 1326 175
1326 1980 148
1980 366 34
366 1923 106
1923 1497 104
1497 804 51
804 1246 199
1246 1134 56
1134 1381 164
1381 914 36
914 468 50
468 118 5
118 295 157
295 955 172
955 1476 156
1476 1648 99
1648 1425 62
1425 1636 114
1636 346 74
346 1948 111
1948 591 77
591 336 21
336 257 193
257 1183 62
1183 643 173
643 1036 48
1036 397 60
397 137 17
137 377 12
377 35 11
35 793 10
793 1554 106
1554 1649 48
1649 1426 41
1426 1593 159
1593 1966 164
1966 1360 101
1360 1866 58
1866 26 128
26 1865 139
1865 874 107
874 1451 115
1451 621 153
621 229 151
229 762 99
762 1832 55
1832 68 200
68 1835 58
1835 808 30
808 1542 153
1542 1088 189
1088 1370 88
1370 1029 62
1029 1596 134
1596 1 165
1 298 34
298 1926 28
1926 1374 53
1374 1285 80
1285 448 126
448 408 16
408 899 174
899 1428 6
1428 1111 160
1111 1311 110
1311 172 78
172 1039 151
1039 856 25
856 259 49
259 1679 124
1679 1786 21
1786 676 6
676 390 160
390 1651 86
1651 1301 130
1301 693 108
693 1837 164
1837 1581 158
1581 165 199
165 714 115
714 1853 157
1853 1699 145
1699 1427 73
1427 1157 120
1157 1047 108
1047 1003 108
1003 334 17
334 780 183
780 197 76
197 466 22
466 554 190
554 101 110
101 1433 98
1433 1992 85
1992 64 150
64 1969 28
1969 472 61
472 477 181
477 1256 195
1256 1387 39
1387 590 142
590 358 34
358 678 15
678 561 65
561 635 155
635 167 62
167 253 100
253 1349 151
1349 1016 12
1016 246 49
246 1459 105
1459 356 38
356 1303 110
1303 1591 190
1591 284 85
284 1635 57
1635 568 97
568 1875 69
1875 11 71
11 951 98
951 691 88
691 478 106
478 1464 196
1464 1118 99
1118 17 83
17 273 159
273 519 95
519 1994 74
1994 141 63
141 1627 32
1627 1128 118
1128 1190 86
1190 1745 24
1745 1548 49
1548 690 156
690 446 73
446 631 189
631 551 51
551 1217 77
1217 1293 41
1293 640 109
640 778 191
778 927 31
927 1279 70
1279 653 80
653 31 80
31 1255 176
1255 766 109
766 950 155
950 1241 83
1241 1642 4
1642 1316 92
1316 170 160
170 1008 83
1008 407 6
407 883 187
883 156 93
156 1590 116
1590 1046 78
1046 997 105
997 1571 25
1571 393 157
393 193 118
193 1429 7
1429 583 115
583 1823 170
1823 629 140
629 1812 158
1812 1063 139
1063 974 108
974 1475 99
1475 1524 102
1524 209 157
209 194 40
194 505 153
505 1424 188
1424 884 191
884 148 66
148 353 23
353 511 132
511 827 83
827 1472 199
1472 204 143
204 1064 92
1064 645 18
645 1788 181
1788 309 143
309 2000 150
2000 1272 152
1272 1375 72
1375 1341 107
1341 1855 19
1855 357 51
357 1857 178
1857 1680 102
1680 1631 123
1631 528 137
528 1456 25
1456 1502 108
1502 1843 147
1843 1533 17
1533 103 104
103 237 175
237 1139 17
1139 352 171
352 1868 179
1868 960 37
960 260 107
260 845 196
845 1058 44
1058 687 106
687 877 164
877 761 59
761 1655 57
1655 1220 71
1220 985 135
985 1654 34
1654 833 103
833 1802 121
1802 1314 9
1314 1666 164
1666 620 31
620 277 96
277 177 99
177 707 45
707 1713 32
1713 1782 200
1782 1917 115
1917 586 47
586 208 164
208 1545 36
1545 787 161
787 1558 189
1558 333 124
333 1000 197
1000 717 44
717 1946 183
1946 1184 116
1184 1569 141
1569 1261 148
1261 800 188
800 89 59
89 1624 40
1624 1575 160
1575 1389 15
1389 634 20
634 1951 124
1951 882 164
882 503 96
503 452 197
452 611 114
611 121 149
121 222 9
222 859 195
859 1909 194
1909 1450 35
1450 126 8
126 1145 51
1145 1059 178
1059 23 134
23 1886 28
1886 486 31
486 80 150
80 175 47
175 1727 168
1727 587 124
587 495 99
495 1974 109
1974 1116 199
1116 1784 172
1784 990 166
990 1467 12
1467 1556 161
1556 1155 41
1155 642 38
642 218 23
218 612 145
612 464 196
464 1565 112
1565 436 45
436 1730 1
1730 1194 92
1194 1121 150
1121 44 159
44 1620 80
1620 1080 2
1080 30 126
30 926 62
926 850 81
850 240 1
240 241 124
241 1186 50
1186 802 97
802 1881 87
1881 1130 130
1130 835 47
835 1282 154
1282 1514 191
1514 1141 49
1141 97 194
97 1233 153
1233 741 112
741 613 11
613 1357 160
1357 1383 14
1383 1026 148
1026 1034 27
1034 987 11
987 846 111
846 1781 130
1781 1466 43
1466 984 17
984 355 67
355 980 144
980 1361 82
1361 1870 171
1870 816 131
816 1625 84
1625 898 88
898 1962 77
1962 1684 6
1684 692 192
692 1168 193
1168 129 132
129 289 39
289 456 124
456 1578 93
1578 210 194
210 220 56
220 789 45
789 1097 177
1097 349 37
349 1528 169
1528 1587 121
1587 392 92
392 1898 19
1898 986 170
986 1861 149
1861 181 133
181 777 95
777 314 127
314 881 34
881 754 77
754 152 98
152 1179 67
1179 1851 147
1851 526 182
526 910 193
910 1614 72
1614 887 31
887 890 56
890 1242 151
1242 1806 171
1806 748 192
748 1069 67
1069 677 160
677 180 5
180 1738 82
